"postal","name","lat","lng"
1000,"Brussel",50.8427501,4.3515499
1020,"Brussel",50.8842180,4.3580002
1030,"Schaarbeek",50.8674400,4.3772700
1040,"Etterbeek",50.8325900,4.3889900
1050,"Elsene",50.8270563,4.3723080
1060,"Sint-Gillis",50.8301436,4.3402184
1070,"Anderlecht",50.8365808,4.3081870
1080,"Sint-Jans-Molenbeek",50.8522009,4.3303277
1081,"Koekelberg",50.8633900,4.3303000
1082,"Sint-Agatha-Berchem",50.8666670,4.3000000
1083,"Ganshoren",50.8711300,4.3025300
1090,"Jette",50.8808700,4.3227800
1120,"Brussel",50.8936568,4.3845296
1130,"Brussel",50.8927187,4.4094535
1140,"Evere",50.8738500,4.4009500
1150,"Sint-Pieters-Woluwe",50.8299809,4.4335038
1160,"Oudergem",50.8164064,4.4265181
1170,"Watermaal-Bosvoorde",50.8000000,4.4166670
1180,"Ukkel",50.8024100,4.3406700
1190,"Vorst",50.8174500,4.3267500
1200,"Sint-Lambrechts-Woluwe",50.8489094,4.4320883
1210,"Sint-Joost-Ten-Node",50.8537715,4.3704657
1300,"Waver",50.7158951,4.6128257
1301,"Waver",50.7198592,4.5695740
1310,"Terhulpen",50.7309955,4.4856707
1315,"Incourt",50.6918800,4.7966000
1320,"Bevekom",50.7805100,4.7740100
1325,"Chaumont-Gistoux",50.6768700,4.7194300
1330,"Rixensart",50.7109736,4.5306325
1331,"Rixensart",50.7346415,4.5461847
1332,"Rixensart",50.7227540,4.4950562
1340,"Ottignies-Louvain-La-Neuve",50.6672105,4.5859684
1341,"Ottignies-Louvain-La-Neuve",50.6615232,4.5319998
1342,"Ottignies-Louvain-La-Neuve",50.6812199,4.5601556
1348,"Ottignies-Louvain-La-Neuve",50.6738567,4.6151693
1350,"Orp-Jauche",50.6829800,4.9547000
1357,"Hélécine",50.7500000,4.9833330
1360,"Perwijs",50.6239500,4.8150300
1367,"Ramillies",50.6367900,4.9145100
1370,"Geldenaken",50.7233600,4.8711500
1380,"Lasne",50.6873600,4.4813500
1390,"Graven",50.7385816,4.6972809
1400,"Nijvel",50.5886574,4.3308649
1401,"Nijvel",50.6137787,4.3533583
1402,"Nijvel",50.5917437,4.3871558
1404,"Nijvel",50.6041731,4.2619990
1410,"Waterloo",50.7146900,4.3991000
1420,"Eigenbrakel",50.6969022,4.3538379
1421,"Eigenbrakel",50.6560168,4.3350676
1428,"Eigenbrakel",50.6443017,4.3705251
1430,"Rebecq",50.6658280,4.1326285
1435,"Mont-Saint-Guibert",50.6347043,4.6106474
1440,"Kasteelbrakel",50.6802986,4.2689347
1450,"Chastre",50.6081300,4.6356900
1457,"Walhain",50.6165400,4.6954500
1460,"Itter",50.6326887,4.2632352
1461,"Itter",50.6497513,4.2937473
1470,"Genepiën",50.6233954,4.5102727
1471,"Genepiën",50.5977336,4.4346610
1472,"Genepiën",50.6222503,4.4043555
1473,"Genepiën",50.6311704,4.4430615
1474,"Genepiën",50.6272880,4.4766613
1476,"Genepiën",50.5804921,4.4102122
1480,"Tubeke",50.6905400,4.2026000
1490,"Court-Saint-Etienne",50.6422504,4.5680813
1495,"Villers-La-Ville",50.5791942,4.5345409
1500,"Halle",50.7324848,4.2349129
1501,"Halle",50.7379887,4.2611018
1502,"Halle",50.7010009,4.2425767
1540,"Herne",50.7233164,4.0536565
1541,"Herne",50.6997768,3.9822484
1547,"Bever",50.7168215,3.9407323
1560,"Hoeilaart",50.7674863,4.4740458
1570,"Galmaarden",50.7529396,3.9709478
1600,"Sint-Pieters-Leeuw",50.7842441,4.2427430
1601,"Sint-Pieters-Leeuw",50.7882883,4.2955941
1602,"Sint-Pieters-Leeuw",50.8054095,4.2334883
1620,"Drogenbos",50.7875500,4.3164600
1630,"Linkebeek",50.7660500,4.3455900
1640,"Sint-Genesius-Rode",50.7459400,4.3575300
1650,"Beersel",50.7686913,4.3120069
1651,"Beersel",50.7725332,4.2783289
1652,"Beersel",50.7473028,4.3274016
1653,"Beersel",50.7302243,4.2967570
1654,"Beersel",50.7478294,4.2761035
1670,"Pepingen",50.7360287,4.1360863
1671,"Pepingen",50.7812236,4.1737326
1673,"Pepingen",50.7353399,4.1796177
1674,"Pepingen",50.7404048,4.1560806
1700,"Dilbeek",50.8464512,4.2620632
1701,"Dilbeek",50.8340174,4.2346965
1702,"Dilbeek",50.8745835,4.2658227
1703,"Dilbeek",50.8378402,4.2009828
1730,"Asse",50.9054755,4.2048959
1731,"Asse",50.8869790,4.2833417
1740,"Ternat",50.8698353,4.1808317
1741,"Ternat",50.8495390,4.1653390
1742,"Ternat",50.8740836,4.1347029
1745,"Opwijk",50.9715998,4.1869110
1750,"Lennik",50.8086929,4.1614340
1755,"Gooik",50.7952811,4.1180489
1760,"Roosdaal",50.8314294,4.0879776
1761,"Roosdaal",50.8512275,4.1291670
1770,"Liedekerke",50.8689100,4.0872900
1780,"Wemmel",50.9103200,4.3009600
1785,"Merchtem",50.9584200,4.2324400
1790,"Affligem",50.9084000,4.1128100
1800,"Vilvoorde",50.9272700,4.4257500
1804,"Zemst",50.9480716,4.4291786
1820,"Steenokkerzeel",50.9079300,4.5134900
1830,"Machelen",50.9125185,4.4376749
1831,"Machelen",50.8913010,4.4468571
1840,"Londerzeel",51.0031100,4.3026000
1850,"Grimbergen",50.9356235,4.3785596
1851,"Grimbergen",50.9667658,4.3834362
1852,"Grimbergen",50.9530611,4.3638681
1853,"Grimbergen",50.9083671,4.3398332
1860,"Meise",50.9478621,4.3302827
1861,"Meise",50.9695502,4.3085432
1880,"Kapelle-Op-Den-Bos",51.0132400,4.3554100
1910,"Kampenhout",50.9338827,4.5605498
